,years,state,,
751,1987,Minnesota,28082,28.1
752,1988,Minnesota,29087,29.1
753,1989,Minnesota,30185,30.2
754,1990,Minnesota,31465,31.5
755,1991,Minnesota,29479,29.5
756,1992,Minnesota,30981,31
757,1993,Minnesota,33682,33.7
758,1994,Minnesota,33644,33.6
759,1995,Minnesota,37933,37.9
760,1996,Minnesota,40991,41
761,1997,Minnesota,42564,42.6
762,1998,Minnesota,47926,47.9
763,1999,Minnesota,47038,47
764,2000,Minnesota,54251,54.3
765,2001,Minnesota,52681,52.7
766,2002,Minnesota,54622,54.6
767,2003,Minnesota,52823,52.8
768,2004,Minnesota,56104,56.1
769,2005,Minnesota,54215,54.2
770,2006,Minnesota,56211,56.2
771,2007,Minnesota,58058,58.1
772,2008,Minnesota,54925,54.9
773,2009,Minnesota,56090,56.1
774,2010,Minnesota,52321,52.3
775,2011,Minnesota,57820,57.8
776,2012,Minnesota,61795,61.8
777,2013,Minnesota,64324,64.3
778,2014,Minnesota,67244,67.2
779,2015,Minnesota,68730,68.7
780,2016,Minnesota,70218,70.2
781,2017,Minnesota,69975,70
782,2018,Minnesota,71817,71.8
783,1985,Mississippi,16413,16.4
784,1986,Mississippi,16513,16.5
785,1987,Mississippi,18513,18.5
786,1988,Mississippi,18166,18.2
787,1989,Mississippi,19917,19.9
788,1990,Mississippi,20178,20.2
789,1991,Mississippi,19475,19.5
790,1992,Mississippi,20570,20.6
791,1993,Mississippi,22191,22.2
792,1994,Mississippi,25400,25.4
793,1995,Mississippi,26538,26.5
794,1996,Mississippi,26677,26.7
795,1997,Mississippi,28499,28.5
796,1998,Mississippi,29120,29.1
797,1999,Mississippi,32478,32.5
798,2000,Mississippi,34299,34.3
799,2001,Mississippi,30161,30.2
800,2002,Mississippi,30882,30.9
801,2003,Mississippi,32728,32.7
802,2004,Mississippi,34755,34.8
803,2005,Mississippi,32875,32.9
804,2006,Mississippi,34733,34.7
805,2007,Mississippi,37279,37.3
806,2008,Mississippi,36446,36.4
807,2009,Mississippi,35078,35.1
808,2010,Mississippi,38160,38.2
809,2011,Mississippi,41090,41.1
810,2012,Mississippi,36641,36.6
811,2013,Mississippi,32338,32.3
812,2014,Mississippi,35521,35.5
813,2015,Mississippi,40037,40
814,2016,Mississippi,41099,41.1
815,2017,Mississippi,43281,43.3
816,2018,Mississippi,42781,42.8
817,1985,Missouri,21939,21.9
818,1986,Missouri,21925,21.9
819,1987,Missouri,23720,23.7
820,1988,Missouri,23443,23.4
821,1989,Missouri,26497,26.5
822,1990,Missouri,27332,27.3
823,1991,Missouri,27926,27.9
